Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Boston Celtics,,2015-16 Boston Celtics,NBA,,82,,19780,3216,7318,.439,717,2142,.335,2499,5176,.483,.488,1520,1929,.788,950,2733,3683,1981,752,348,1127,1796,8669,
Avery Bradley,25,BOS,NBA,SG,76,72,2536,456,1019,.447,147,407,.361,309,612,.505,.520,96,123,.780,48,172,220,158,117,19,109,164,1155,
Jared Sullinger,23,BOS,NBA,PF,81,73,1915,351,806,.435,29,103,.282,322,703,.458,.453,103,161,.640,194,479,673,187,75,47,102,209,834,
Tyler Zeller,26,BOS,NBA,C,60,3,710,138,290,.476,0,0,,138,290,.476,.476,88,108,.815,62,116,178,29,10,22,46,97,364,
Kelly Olynyk,24,BOS,NBA,C,69,8,1395,253,556,.455,85,210,.405,168,346,.486,.531,96,128,.750,72,209,281,105,52,33,74,163,687,
Isaiah Thomas,26,BOS,NBA,PG,82,79,2644,591,1382,.428,167,465,.359,424,917,.462,.488,474,544,.871,46,197,243,509,91,9,220,167,1823,
Marcus Smart,21,BOS,NBA,PG,61,10,1667,184,529,.348,61,241,.253,123,288,.427,.405,129,166,.777,76,179,255,185,91,18,80,183,558,
James Young,20,BOS,NBA,SG,29,0,199,11,36,.306,6,26,.231,5,10,.500,.389,1,4,.250,4,22,26,9,6,1,5,17,29,
Evan Turner,27,BOS,NBA,SG,81,12,2271,343,753,.456,20,83,.241,323,670,.482,.469,148,179,.827,50,347,397,359,80,28,169,139,854,
Terry Rozier,21,BOS,NBA,PG,39,0,311,29,106,.274,6,27,.222,23,79,.291,.302,8,10,.800,24,39,63,37,6,1,19,23,72,
R.J. Hunter,22,BOS,NBA,SG,36,0,315,36,98,.367,19,63,.302,17,35,.486,.464,6,7,.857,2,35,37,13,14,4,11,29,97,
Jae Crowder,25,BOS,NBA,SF,73,73,2308,360,813,.443,122,363,.336,238,450,.529,.518,196,239,.820,70,303,373,135,126,35,83,198,1038,
Jonas Jerebko,28,BOS,NBA,PF,78,0,1176,118,286,.413,43,108,.398,75,178,.421,.488,61,78,.782,77,211,288,62,20,24,52,137,340,
Amir Johnson,28,BOS,NBA,PF,79,76,1800,249,426,.585,10,43,.233,239,383,.624,.596,69,121,.570,178,327,505,138,52,83,94,214,577,
Jordan Mickey,21,BOS,NBA,PF,16,0,57,8,22,.364,0,0,,8,22,.364,.364,5,10,.500,6,7,13,1,0,11,1,5,21,
John Holland,27,BOS,NBA,,1,0,1,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,
