Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Brooklyn Nets,,2015-16 Brooklyn Nets,NBA,,82,,19755,3136,6920,.453,531,1508,.352,2605,5412,.481,.492,1286,1699,.757,863,2614,3477,1829,627,332,1212,1476,8089,
Sergey Karasev,22,BRK,NBA,SF,40,5,399,30,74,.405,11,37,.297,19,37,.514,.480,26,28,.929,8,50,58,35,6,2,22,27,97,
Jarrett Jack,32,BRK,NBA,PG,32,32,1027,140,358,.391,31,102,.304,109,256,.426,.434,100,112,.893,9,127,136,236,34,7,94,77,411,
Bojan Bogdanovic,26,BRK,NBA,SF,79,39,2115,324,749,.433,129,338,.382,195,411,.474,.519,110,132,.833,36,219,255,99,29,5,115,119,887,
Markel Brown,24,BRK,NBA,SG,62,6,982,127,322,.394,38,121,.314,89,201,.443,.453,71,94,.755,23,99,122,91,38,15,54,94,363,
Rondae Hollis-Jefferson,21,BRK,NBA,SF,29,17,615,63,138,.457,4,14,.286,59,124,.476,.471,37,52,.712,39,115,154,43,39,16,26,61,167,
Chris McCullough,20,BRK,NBA,PF,24,4,362,44,109,.404,13,34,.382,31,75,.413,.463,11,23,.478,25,43,68,9,28,12,15,39,112,
Brook Lopez,27,BRK,NBA,C,73,73,2457,591,1157,.511,2,14,.143,589,1143,.515,.512,317,403,.787,204,369,573,147,58,124,175,215,1501,
Thaddeus Young,27,BRK,NBA,PF,73,73,2407,495,963,.514,7,30,.233,488,933,.523,.518,105,163,.644,176,484,660,135,112,37,136,182,1102,
Shane Larkin,23,BRK,NBA,PG,78,17,1751,222,502,.442,39,108,.361,183,394,.464,.481,83,107,.776,28,152,180,342,95,12,146,121,566,
Wayne Ellington,28,BRK,NBA,SG,76,41,1615,218,561,.389,96,268,.358,122,293,.416,.474,54,63,.857,20,154,174,83,48,5,45,82,586,
Thomas Robinson,24,BRK,NBA,PF,71,7,916,130,291,.447,0,1,.000,130,290,.448,.447,47,109,.431,136,223,359,46,39,36,69,111,307,
Willie Reed,25,BRK,NBA,PF,39,2,426,76,133,.571,0,0,,76,133,.571,.571,30,55,.545,49,73,122,10,6,30,16,47,182,
Donald Sloan,28,BRK,NBA,PG,61,33,1318,154,350,.440,38,99,.384,116,251,.462,.494,78,104,.750,17,156,173,268,32,4,80,73,424,
Sean Kilpatrick,26,TOT,NBA,SG,31,0,616,123,270,.456,39,114,.342,84,156,.538,.528,60,67,.896,12,44,56,29,12,2,31,37,345,
Henry Sims,25,BRK,NBA,C,14,4,263,33,77,.429,0,0,,33,77,.429,.429,25,30,.833,21,51,72,9,9,14,12,37,91,
