Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Chicago Bulls,,2015-16 Chicago Bulls,NBA,,82,,19905,3165,7170,.441,651,1754,.371,2514,5416,.464,.487,1354,1720,.787,907,2889,3796,1870,495,470,1141,1545,8335,
Derrick Rose,27,CHI,NBA,PG,66,66,2097,447,1048,.427,44,150,.293,403,898,.449,.448,142,179,.793,46,179,225,311,44,14,175,84,1080,
Joakim Noah,30,CHI,NBA,C,29,2,635,51,133,.383,0,1,.000,51,132,.386,.383,22,45,.489,87,168,255,110,18,29,52,77,124,
Taj Gibson,30,CHI,NBA,PF,73,55,1936,263,501,.525,0,3,.000,263,498,.528,.525,101,146,.692,206,298,504,106,47,77,78,180,627,
Tony Snell,24,CHI,NBA,SF,64,33,1301,126,339,.372,56,155,.361,70,184,.380,.454,30,33,.909,19,180,199,63,16,17,52,100,338,
Nikola Mirotic,24,CHI,NBA,PF,66,38,1646,248,609,.407,135,346,.390,113,263,.430,.518,146,181,.807,58,304,362,100,58,46,102,151,777,
E'Twaun Moore,26,CHI,NBA,SG,59,22,1263,187,389,.481,47,104,.452,140,285,.491,.541,22,35,.629,19,114,133,99,37,18,53,103,443,
Doug McDermott,24,CHI,NBA,SF,81,4,1861,291,644,.452,110,259,.425,181,385,.470,.537,72,84,.857,37,158,195,59,14,6,53,127,764,
Pau Gasol,35,CHI,NBA,C,72,72,2291,467,995,.469,24,69,.348,443,926,.478,.481,229,289,.792,155,638,793,294,42,146,164,148,1187,
Cameron Bairstow,25,CHI,NBA,C,18,2,103,13,40,.325,1,5,.200,12,35,.343,.338,7,8,.875,4,24,28,6,2,3,4,19,34,
Bobby Portis,20,CHI,NBA,PF,62,4,1102,186,436,.427,16,52,.308,170,384,.443,.445,48,66,.727,123,214,337,52,25,22,54,100,436,
Jimmy Butler,26,CHI,NBA,SG,67,67,2474,470,1034,.455,64,206,.311,406,828,.490,.485,395,475,.832,79,279,358,321,110,43,132,124,1399,
Mike Dunleavy,35,CHI,NBA,SF,31,30,703,77,188,.410,39,99,.394,38,89,.427,.513,29,37,.784,8,75,83,39,14,10,26,66,222,
Aaron Brooks,31,CHI,NBA,PG,69,0,1108,188,469,.401,66,185,.357,122,284,.430,.471,49,64,.766,21,80,101,180,30,10,82,132,491,
Justin Holiday,26,TOT,NBA,SG,53,5,773,88,228,.386,36,105,.343,52,123,.423,.465,27,37,.730,12,78,90,56,32,19,39,61,239,
Cristiano Felicio,23,CHI,NBA,C,31,4,321,40,72,.556,0,4,.000,40,68,.588,.556,25,35,.714,30,72,102,26,6,13,13,31,105,
