Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Cleveland Cavaliers,,2015-16 Cleveland Cavaliers,NBA,,82,,19855,3171,6888,.460,880,2427,.363,2291,4461,.514,.524,1333,1783,.748,873,2777,3650,1861,551,317,1114,1666,8555,
Kyrie Irving,23,CLE,NBA,PG,53,53,1667,394,879,.448,84,261,.322,310,618,.502,.496,169,191,.885,44,113,157,249,56,18,124,107,1041,
LeBron James,31,CLE,NBA,SF,76,76,2709,737,1416,.520,87,282,.309,650,1134,.573,.551,359,491,.731,111,454,565,514,104,49,249,143,1920,
Channing Frye,32,TOT,NBA,PF-C,70,32,1200,152,347,.438,91,235,.387,61,112,.545,.569,30,35,.857,35,199,234,71,29,28,43,127,425,
Timofey Mozgov,29,CLE,NBA,C,76,48,1326,203,359,.565,1,7,.143,202,352,.574,.567,68,95,.716,110,227,337,33,22,57,71,159,475,
Kevin Love,27,CLE,NBA,PF,77,77,2424,409,977,.419,158,439,.360,251,538,.467,.499,258,314,.822,149,613,762,186,58,41,142,159,1234,
Iman Shumpert,25,CLE,NBA,SG,54,5,1316,114,305,.374,43,146,.295,71,159,.447,.444,40,51,.784,32,171,203,92,54,19,57,119,311,
Mo Williams,33,CLE,NBA,PG,41,14,748,132,302,.437,36,102,.353,96,200,.480,.497,38,42,.905,6,66,72,98,14,5,57,60,338,
Richard Jefferson,35,CLE,NBA,SF,74,5,1326,143,312,.458,66,173,.382,77,139,.554,.564,58,87,.667,15,113,128,59,33,14,43,129,410,
James Jones,35,CLE,NBA,SF,48,0,463,58,142,.408,41,104,.394,17,38,.447,.553,21,26,.808,8,42,50,14,11,10,13,50,178,
Matthew Dellavedova,25,CLE,NBA,PG,76,14,1867,207,511,.405,98,239,.410,109,272,.401,.501,57,66,.864,33,129,162,337,44,9,116,178,569,
J.R. Smith,30,CLE,NBA,SG,77,77,2362,353,850,.415,204,510,.400,149,340,.438,.535,45,71,.634,43,174,217,130,81,21,59,204,955,
Sasha Kaun,30,CLE,NBA,C,24,0,95,9,17,.529,0,0,,9,17,.529,.529,4,9,.444,12,14,26,3,4,5,7,11,22,
Tristan Thompson,24,CLE,NBA,PF,82,34,2269,247,420,.588,0,0,,247,420,.588,.588,149,242,.616,268,470,738,62,38,51,61,202,643,
Jordan McRae,24,TOT,NBA,PG,22,1,195,34,78,.436,10,22,.455,24,56,.429,.500,21,28,.750,4,16,20,25,3,1,15,17,99,
Dahntay Jones,35,CLE,NBA,SF,1,0,42,6,14,.429,1,2,.500,5,12,.417,.464,0,0,,1,4,5,2,1,2,0,6,13,
