Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Dallas Mavericks,,2015-16 Dallas Mavericks,NBA,,82,,20005,3064,6900,.444,806,2341,.344,2258,4559,.495,.502,1454,1831,.794,751,2781,3532,1813,560,306,1047,1595,8388,
Dirk Nowitzki,37,DAL,NBA,PF,75,75,2364,498,1112,.448,126,342,.368,372,770,.483,.504,250,280,.893,52,437,489,132,52,52,84,161,1372,
JaVale McGee,28,DAL,NBA,C,34,2,370,77,134,.575,0,1,.000,77,133,.579,.575,18,36,.500,53,80,133,3,5,26,21,49,172,
Chandler Parsons,27,DAL,NBA,SF,61,51,1799,320,651,.492,104,250,.416,216,401,.539,.571,93,136,.684,29,256,285,169,46,21,95,114,837,
Raymond Felton,31,DAL,NBA,PG,80,31,2192,277,682,.406,60,213,.282,217,469,.463,.450,149,176,.847,36,222,258,284,68,15,121,141,763,
Devin Harris,32,DAL,NBA,PG,64,0,1280,167,374,.447,52,158,.329,115,216,.532,.516,101,140,.721,18,120,138,118,60,13,66,124,487,
Dwight Powell,24,DAL,NBA,PF,69,2,992,146,296,.493,2,16,.125,144,280,.514,.497,105,142,.739,84,189,273,44,36,24,40,118,399,
Justin Anderson,22,DAL,NBA,SF,55,9,647,71,175,.406,22,83,.265,49,92,.533,.469,44,55,.800,18,114,132,29,19,25,24,45,208,
Wesley Matthews,29,DAL,NBA,SG,78,78,2644,331,854,.388,189,525,.360,142,329,.432,.498,126,146,.863,27,211,238,151,78,17,78,179,977,
J.J. Barea,31,DAL,NBA,PG,74,16,1667,317,711,.446,100,260,.385,217,451,.481,.516,74,96,.771,26,126,152,302,26,2,113,110,808,
Charlie Villanueva,31,DAL,NBA,PF,62,4,665,125,327,.382,47,172,.273,78,155,.503,.454,22,24,.917,24,128,152,24,18,15,31,71,319,
Jeremy Evans,28,DAL,NBA,SF,30,2,251,26,48,.542,4,16,.250,22,32,.688,.583,15,21,.714,11,43,54,2,6,9,7,19,71,
Zaza Pachulia,31,DAL,NBA,C,76,69,2004,219,470,.466,0,3,.000,219,467,.469,.466,212,276,.768,249,469,718,128,64,22,119,181,650,
Deron Williams,31,DAL,NBA,PG,65,63,2106,321,775,.414,97,282,.344,224,493,.454,.477,179,206,.869,19,171,190,378,61,14,150,155,918,
Salah Mejri,29,DAL,NBA,C,34,6,397,49,78,.628,0,1,.000,49,77,.636,.628,27,46,.587,41,82,123,10,8,36,23,54,125,
David Lee,32,TOT,NBA,PF,55,5,903,178,335,.531,0,1,.000,178,334,.533,.531,71,93,.763,101,204,305,84,22,28,66,114,427,
