Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Detroit Pistons,,2015-16 Detroit Pistons,NBA,,82,,19880,3111,7087,.439,740,2148,.345,2371,4939,.480,.491,1399,2095,.668,1021,2777,3798,1594,573,304,1110,1557,8361,
Andre Drummond,22,DET,NBA,C,81,81,2665,552,1060,.521,2,6,.333,550,1054,.522,.522,208,586,.355,395,803,1198,67,119,112,155,245,1314,
Kentavious Caldwell-Pope,22,DET,NBA,SG,76,76,2789,403,960,.420,114,369,.309,289,591,.489,.479,185,228,.811,70,212,282,138,110,17,105,167,1105,
Reggie Bullock,24,DET,NBA,SF,37,0,429,43,98,.439,22,53,.415,21,45,.467,.551,14,15,.933,14,54,68,27,10,2,8,29,122,
Steve Blake,35,DET,NBA,PG,58,2,986,93,240,.388,52,151,.344,41,89,.461,.496,16,20,.800,9,80,89,200,24,5,81,70,254,
Jodie Meeks,28,DET,NBA,SG,3,0,43,7,20,.350,4,9,.444,3,11,.273,.450,4,4,1.000,1,4,5,3,0,0,1,2,22,
Marcus Morris,26,DET,NBA,SF,80,80,2856,410,945,.434,108,298,.362,302,647,.467,.491,203,271,.749,91,313,404,201,67,23,140,170,1131,
Anthony Tolliver,30,DET,NBA,PF,72,5,1341,128,332,.386,98,272,.360,30,60,.500,.533,29,47,.617,39,190,229,52,26,16,28,86,383,
Spencer Dinwiddie,22,DET,NBA,PG,12,0,159,19,54,.352,1,10,.100,18,44,.409,.361,19,33,.576,4,13,17,22,3,0,7,20,58,
Stanley Johnson,19,DET,NBA,SF,73,6,1687,225,600,.375,63,205,.307,162,395,.410,.428,80,102,.784,58,248,306,118,55,12,114,178,593,
Aron Baynes,29,DET,NBA,C,81,1,1233,194,384,.505,0,2,.000,194,382,.508,.505,126,165,.764,140,244,384,51,21,52,67,151,514,
Tobias Harris,23,TOT,NBA,PF,76,74,2513,417,889,.469,80,239,.335,337,650,.518,.514,202,243,.831,97,414,511,169,65,40,108,153,1116,
Reggie Jackson,25,DET,NBA,PG,79,79,2424,540,1244,.434,118,334,.353,422,910,.464,.482,291,337,.864,58,195,253,492,59,11,223,187,1489,
Joel Anthony,33,DET,NBA,C,19,0,96,6,10,.600,0,0,,6,10,.600,.600,6,8,.750,8,13,21,1,2,12,2,15,18,
Darrun Hilliard,22,DET,NBA,SG,38,2,383,52,131,.397,19,50,.380,33,81,.407,.469,29,40,.725,5,40,45,27,9,1,19,28,152,
Lorenzo Brown,25,PHO,NBA,PG,8,0,61,8,25,.320,1,8,.125,7,17,.412,.340,3,4,.750,0,7,7,11,3,1,9,4,20,
