Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Golden State Warriors,,2015-16 Golden State Warriors,NBA,,82,,19880,3489,7159,.487,1077,2592,.416,2412,4567,.528,.563,1366,1790,.763,816,2972,3788,2373,689,498,1245,1701,9421,
Andrew Bogut,31,GSW,NBA,C,70,66,1451,175,279,.627,1,1,1.000,174,278,.626,.629,24,50,.480,121,371,492,162,32,114,83,221,375,
Stephen Curry,27,GSW,NBA,PG,79,79,2700,805,1598,.504,402,886,.454,403,712,.566,.630,363,400,.908,68,362,430,527,169,15,262,161,2375,
Brandon Rush,30,GSW,NBA,SG,72,25,1055,111,260,.427,65,157,.414,46,103,.447,.552,18,28,.643,21,160,181,57,20,23,33,57,305,
Harrison Barnes,23,GSW,NBA,SF,66,59,2042,295,633,.466,82,214,.383,213,419,.508,.531,102,134,.761,77,248,325,117,41,10,57,136,774,
Klay Thompson,25,GSW,NBA,SG,80,80,2666,651,1386,.470,276,650,.425,375,736,.510,.569,193,221,.873,35,271,306,166,60,49,138,152,1771,
Festus Ezeli,26,GSW,NBA,C,46,13,770,125,228,.548,0,0,,125,228,.548,.548,70,132,.530,91,166,257,32,18,50,38,94,320,
Andre Iguodala,32,GSW,NBA,SF,65,1,1732,176,368,.478,54,154,.351,122,214,.570,.552,51,83,.614,52,211,263,219,73,19,79,102,457,
Shaun Livingston,30,GSW,NBA,PG,78,3,1520,203,379,.536,2,12,.167,201,367,.548,.538,80,93,.860,42,127,169,237,57,27,78,140,488,
Marreese Speights,28,GSW,NBA,C,72,0,832,197,456,.432,24,62,.387,173,394,.439,.458,94,114,.825,77,162,239,61,19,34,66,117,512,
James Michael McAdoo,23,GSW,NBA,PF,41,1,262,45,84,.536,1,2,.500,44,82,.537,.542,26,49,.531,30,28,58,17,10,8,16,39,117,
Kevon Looney,19,GSW,NBA,PF,5,0,21,4,7,.571,1,2,.500,3,5,.600,.643,0,0,,4,6,10,0,0,0,1,2,9,
Draymond Green,25,GSW,NBA,PF,81,81,2808,401,819,.490,100,258,.388,301,561,.537,.551,229,329,.696,134,635,769,598,120,113,259,240,1131,
Leandro Barbosa,33,GSW,NBA,SG,68,0,1079,171,370,.462,39,110,.355,132,260,.508,.515,52,62,.839,28,89,117,82,44,10,53,107,433,
Ian Clark,24,GSW,NBA,SG,66,1,578,89,202,.441,30,84,.357,59,118,.500,.515,28,34,.824,13,55,68,64,17,13,43,58,236,
Anderson Varejao,33,TOT,NBA,C,53,0,496,53,124,.427,0,1,.000,53,123,.431,.427,32,50,.640,37,104,141,35,16,10,22,70,138,
