Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Houston Rockets,,2015-16 Houston Rockets,NBA,,82,,19830,3094,6847,.452,878,2533,.347,2216,4314,.514,.516,1671,2407,.694,930,2601,3531,1821,821,430,1307,1790,8737,
James Harden,26,HOU,NBA,SG,82,82,3125,710,1617,.439,236,657,.359,474,960,.494,.512,720,837,.860,63,438,501,612,139,51,374,229,2376,
Terrence Jones,24,HOU,NBA,PF,50,11,1044,166,367,.452,25,79,.316,141,288,.490,.486,77,116,.664,62,149,211,41,23,39,49,86,434,
Donatas Motiejunas,25,HOU,NBA,PF,37,22,547,90,205,.439,16,57,.281,74,148,.500,.478,34,53,.642,37,72,109,41,17,5,44,69,230,
Trevor Ariza,30,HOU,NBA,SF,81,81,2859,357,859,.416,185,499,.371,172,360,.478,.523,126,161,.783,67,299,366,188,160,26,113,177,1025,
Dwight Howard,30,HOU,NBA,C,71,71,2280,372,600,.620,0,6,.000,372,594,.626,.620,232,474,.489,238,597,835,98,69,113,166,219,976,
Clint Capela,21,HOU,NBA,C,77,35,1471,231,397,.582,0,1,.000,231,396,.583,.582,80,211,.379,194,300,494,47,59,92,60,190,542,
Sam Dekker,21,HOU,NBA,SF,3,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,0,0,
Patrick Beverley,27,HOU,NBA,PG,71,63,2041,258,594,.434,124,310,.400,134,284,.472,.539,60,88,.682,73,177,250,239,94,26,91,234,700,
Corey Brewer,29,HOU,NBA,SF,82,12,1669,212,552,.384,61,224,.272,151,328,.460,.439,105,140,.750,42,157,199,109,84,19,78,168,590,
Josh Smith,30,TOT,NBA,PF,55,7,880,127,349,.364,41,143,.287,86,206,.417,.423,37,67,.552,51,141,192,90,34,47,77,118,332,
K.J. McDaniels,22,HOU,NBA,SF,37,1,235,29,72,.403,7,25,.280,22,47,.468,.451,24,30,.800,16,26,42,10,7,6,17,30,89,
Jason Terry,38,HOU,NBA,SG,72,7,1258,151,376,.402,93,261,.356,58,115,.504,.525,27,33,.818,14,65,79,103,47,9,49,91,422,
Montrezl Harrell,22,HOU,NBA,PF,39,1,379,58,90,.644,0,1,.000,58,89,.652,.644,24,46,.522,25,40,65,17,11,11,17,48,140,
Michael Beasley,27,HOU,NBA,SF,20,0,363,107,205,.522,3,9,.333,104,196,.531,.529,38,49,.776,29,69,98,16,11,9,24,39,255,
Andrew Goudelock,27,HOU,NBA,PG,8,0,50,9,20,.450,1,9,.111,8,11,.727,.475,3,4,.750,1,1,2,4,6,2,7,4,22,
