Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Los Angeles Clippers,,2015-16 Los Angeles Clippers,NBA,,82,,19830,3141,6759,.465,797,2190,.364,2344,4569,.513,.524,1490,2152,.692,721,2727,3448,1873,709,460,1063,1746,8569,
Blake Griffin,26,LAC,NBA,PF,35,35,1170,301,603,.499,6,18,.333,295,585,.504,.504,141,194,.727,51,243,294,170,28,17,83,95,749,
Jamal Crawford,35,LAC,NBA,SG,79,5,2126,379,939,.404,117,344,.340,262,595,.440,.466,245,271,.904,20,125,145,183,52,12,113,122,1120,
J.J. Redick,31,LAC,NBA,SG,75,75,2097,422,880,.480,200,421,.475,222,459,.484,.593,182,205,.888,10,129,139,106,42,5,78,135,1226,
Chris Paul,30,LAC,NBA,PG,74,74,2420,515,1114,.462,122,329,.371,393,785,.501,.517,294,328,.896,39,271,310,738,152,13,194,185,1446,
C.J. Wilcox,25,LAC,NBA,SG,23,0,167,26,66,.394,9,23,.391,17,43,.395,.462,9,12,.750,1,11,12,10,10,2,2,15,70,
Paul Pierce,38,LAC,NBA,SF,68,38,1231,144,397,.363,75,242,.310,69,155,.445,.457,54,66,.818,12,174,186,71,33,17,58,129,417,
DeAndre Jordan,27,LAC,NBA,C,77,77,2598,357,508,.703,0,1,.000,357,507,.704,.703,266,619,.430,267,792,1059,90,51,177,107,207,980,
Wesley Johnson,28,LAC,NBA,SF,80,9,1666,208,515,.404,103,309,.333,105,206,.510,.504,30,46,.652,37,211,248,49,89,56,54,173,549,
Austin Rivers,23,LAC,NBA,SG,67,7,1464,226,516,.438,62,185,.335,164,331,.495,.498,79,116,.681,22,108,130,99,48,9,61,137,593,
Jeff Green,29,TOT,NBA,SF,80,41,2253,354,824,.430,67,213,.315,287,611,.470,.470,164,220,.745,74,258,332,138,58,40,93,164,939,
Cole Aldrich,27,LAC,NBA,C,60,5,800,134,225,.596,0,0,,134,225,.596,.596,60,84,.714,86,202,288,50,47,68,64,139,328,
Pablo Prigioni,38,LAC,NBA,PG,59,3,823,55,147,.374,28,95,.295,27,52,.519,.469,7,8,.875,38,76,114,130,53,1,49,82,145,
Branden Dawson,22,LAC,NBA,PF,6,0,29,2,5,.400,0,0,,2,5,.400,.400,1,1,1.000,2,2,4,0,0,1,0,2,5,
Luc Mbah a Moute,29,LAC,NBA,PF,75,61,1274,94,207,.454,13,40,.325,81,167,.485,.486,30,57,.526,60,111,171,30,44,19,34,100,231,
Jeff Ayres,28,LAC,NBA,C,17,0,107,12,23,.522,0,1,.000,12,22,.545,.522,6,6,1.000,4,18,22,5,0,3,6,18,30,
