Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Miami Heat,,2015-16 Miami Heat,NBA,,82,,19830,3150,6697,.470,498,1480,.336,2652,5217,.508,.508,1406,1889,.744,807,2811,3618,1709,553,531,1155,1502,8204,
Luol Deng,30,MIA,NBA,PF,74,73,2394,339,746,.454,88,257,.342,251,489,.513,.513,145,192,.755,108,335,443,140,74,29,81,122,911,
Chris Bosh,31,MIA,NBA,PF,53,53,1778,358,767,.467,81,222,.365,277,545,.508,.520,213,268,.795,48,342,390,128,36,34,78,101,1010,
Josh McRoberts,28,MIA,NBA,PF,42,1,595,55,148,.372,12,49,.245,43,99,.434,.412,28,40,.700,22,83,105,81,18,7,30,68,150,
Udonis Haslem,35,MIA,NBA,PF,37,0,260,23,61,.377,1,9,.111,22,52,.423,.385,12,16,.750,10,65,75,14,5,2,5,25,59,
Tyler Johnson,23,MIA,NBA,SG,36,5,863,118,242,.488,27,70,.386,91,172,.529,.543,51,64,.797,28,81,109,79,24,14,47,66,314,
Hassan Whiteside,26,MIA,NBA,C,73,43,2125,413,682,.606,0,0,,413,682,.606,.606,214,329,.650,238,627,865,30,44,269,137,201,1040,
Justise Winslow,19,MIA,NBA,SF,78,8,2232,195,462,.422,32,116,.276,163,346,.471,.457,80,117,.684,81,322,403,117,68,26,95,184,502,
Goran Dragic,29,MIA,NBA,PG,72,72,2363,417,875,.477,64,205,.312,353,670,.527,.513,120,165,.727,54,223,277,419,71,17,185,188,1018,
Dwyane Wade,34,MIA,NBA,SG,74,73,2258,540,1183,.456,7,44,.159,533,1139,.468,.459,322,406,.793,82,220,302,344,79,42,203,116,1409,
Gerald Green,30,MIA,NBA,SG,69,14,1557,230,587,.392,84,260,.323,146,327,.446,.463,72,92,.783,25,138,163,56,38,19,46,123,616,
Josh Richardson,22,MIA,NBA,SG,52,2,1107,123,272,.452,53,115,.461,70,157,.446,.550,42,63,.667,21,86,107,73,36,25,35,107,341,
Amar'e Stoudemire,33,MIA,NBA,C,52,36,762,125,221,.566,0,0,,125,221,.566,.566,50,67,.746,65,157,222,27,18,41,47,92,300,
Joe Johnson,34,TOT,NBA,SF,81,81,2703,377,859,.439,120,313,.383,257,546,.471,.509,118,142,.831,49,243,292,318,61,4,159,146,992,
Briante Weber,23,TOT,NBA,PG,7,4,169,14,39,.359,0,5,.000,14,34,.412,.359,3,4,.750,8,17,25,21,9,3,9,12,31,
Dorell Wright,30,MIA,NBA,,5,0,19,5,10,.500,2,5,.400,3,5,.600,.600,4,4,1.000,0,6,6,2,0,0,0,2,16,
