Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Minnesota Timberwolves,,2015-16 Minnesota Timberwolves,NBA,,82,,19880,3095,6668,.464,455,1347,.338,2640,5321,.496,.498,1753,2213,.792,821,2587,3408,1916,656,375,1231,1696,8398,
Kevin Garnett,39,MIN,NBA,PF,38,38,556,54,115,.470,0,1,.000,54,114,.474,.470,14,21,.667,15,135,150,62,28,10,16,70,122,
Ricky Rubio,25,MIN,NBA,PG,76,76,2323,219,586,.374,62,190,.326,157,396,.396,.427,266,314,.847,40,286,326,658,162,10,193,201,766,
Shabazz Muhammad,23,MIN,NBA,SF,82,0,1682,317,681,.465,44,152,.289,273,529,.516,.498,185,242,.764,100,167,267,52,24,7,70,94,863,
Gorgui Dieng,26,MIN,NBA,C,82,39,2220,308,579,.532,6,20,.300,302,559,.540,.537,205,248,.827,157,428,585,143,94,96,140,219,827,
Nikola Pekovic,30,MIN,NBA,C,12,3,156,19,50,.380,0,0,,19,50,.380,.380,16,20,.800,7,14,21,11,1,0,9,22,54,
Andrew Wiggins,20,MIN,NBA,SF,81,81,2845,594,1294,.459,57,190,.300,537,1104,.486,.481,430,565,.761,107,186,293,164,78,46,182,165,1675,
Zach LaVine,20,MIN,NBA,SG,82,33,2294,433,959,.452,123,316,.389,310,643,.482,.516,161,203,.793,27,201,228,251,69,17,155,193,1150,
Adreian Payne,24,MIN,NBA,PF,52,2,486,53,146,.363,9,32,.281,44,114,.386,.394,17,26,.654,21,91,112,29,16,11,36,77,132,
Damjan Rudez,29,MIN,NBA,SF,33,0,277,25,62,.403,17,50,.340,8,12,.667,.540,8,8,1.000,5,15,20,11,3,1,13,33,75,
Karl-Anthony Towns,20,MIN,NBA,C,82,82,2626,625,1152,.543,30,88,.341,595,1064,.559,.556,223,275,.811,226,629,855,161,58,138,183,245,1503,
Tyus Jones,19,MIN,NBA,PG,37,0,573,56,156,.359,16,53,.302,40,103,.388,.410,28,39,.718,7,40,47,108,31,3,33,33,156,
Nemanja Bjelica,27,MIN,NBA,PF,60,0,1075,110,235,.468,48,125,.384,62,110,.564,.570,40,55,.727,49,161,210,83,26,21,47,154,308,
Tayshaun Prince,35,MIN,NBA,SF,77,44,1462,102,229,.445,4,23,.174,98,206,.476,.454,13,19,.684,32,115,147,73,36,13,27,62,221,
Greg Smith,25,MIN,NBA,PF,18,0,192,18,32,.563,0,0,,18,32,.563,.563,7,17,.412,12,30,42,6,4,1,7,28,43,
