Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Oklahoma City Thunder,,2015-16 Oklahoma City Thunder,NBA,,82,,19830,3372,7082,.476,678,1945,.349,2694,5137,.524,.524,1616,2067,.782,1071,2916,3987,1883,603,487,1305,1691,9038,
Dion Waiters,24,OKC,NBA,SG,78,15,2152,282,706,.399,86,241,.357,196,465,.422,.460,112,157,.713,36,166,202,154,81,15,120,143,762,
Andre Roberson,24,OKC,NBA,SG,70,70,1553,136,274,.496,32,103,.311,104,171,.608,.555,33,54,.611,79,172,251,47,53,42,35,133,337,
Kevin Durant,27,OKC,NBA,SF,72,72,2578,698,1381,.505,186,480,.388,512,901,.568,.573,447,498,.898,45,544,589,361,69,85,250,137,2029,
Russell Westbrook,27,OKC,NBA,PG,80,80,2749,656,1444,.454,101,341,.296,555,1103,.503,.489,465,573,.812,145,481,626,834,163,20,342,200,1878,
Serge Ibaka,26,OKC,NBA,PF,78,78,2500,416,869,.479,60,184,.326,356,685,.520,.513,91,121,.752,141,392,533,66,38,148,108,211,983,
Nick Collison,35,OKC,NBA,PF,59,4,699,50,109,.459,0,2,.000,50,107,.467,.459,23,33,.697,68,103,171,52,15,16,50,107,123,
Steven Adams,22,OKC,NBA,C,80,80,2014,261,426,.613,0,0,,261,426,.613,.613,114,196,.582,219,314,533,62,42,89,84,223,636,
Randy Foye,32,TOT,NBA,SG,81,8,1642,169,482,.351,75,250,.300,94,232,.405,.428,61,74,.824,24,132,156,161,39,29,86,131,474,
Anthony Morrow,30,OKC,NBA,SG,68,6,926,136,333,.408,79,204,.387,57,129,.442,.527,29,39,.744,10,52,62,24,22,5,17,64,380,
Mitch McGary,23,OKC,NBA,PF,20,0,72,11,23,.478,0,4,.000,11,19,.579,.478,4,10,.400,4,14,18,3,1,2,7,10,26,
Cameron Payne,21,OKC,NBA,PG,57,1,698,114,278,.410,36,111,.324,78,167,.467,.475,19,24,.792,9,76,85,108,36,6,44,80,283,
Kyle Singler,27,OKC,NBA,SF,68,2,977,86,221,.389,30,97,.309,56,124,.452,.457,29,44,.659,50,91,141,24,30,9,32,120,231,
Enes Kanter,23,OKC,NBA,C,82,1,1721,414,719,.576,10,21,.476,404,698,.579,.583,200,251,.797,249,415,664,33,26,33,115,166,1038,
Josh Huestis,24,OKC,NBA,PF,5,0,55,5,12,.417,4,6,.667,1,6,.167,.583,0,4,.000,2,8,10,0,1,2,3,3,14,
Nazr Mohammed,38,OKC,NBA,C,5,0,19,3,5,.600,0,0,,3,5,.600,.600,2,2,1.000,1,3,4,0,0,0,3,4,8,
