Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Phoenix Suns,,2015-16 Phoenix Suns,NBA,,82,,19705,3051,7018,.435,738,2117,.349,2313,4901,.472,.487,1431,1905,.751,943,2733,3676,1701,632,313,1410,1858,8271,
Eric Bledsoe,26,PHO,NBA,PG,31,31,1059,223,492,.453,48,129,.372,175,363,.482,.502,138,172,.802,18,107,125,190,63,19,110,75,632,
Archie Goodwin,21,PHO,NBA,PG,57,13,1114,176,421,.418,23,98,.235,153,323,.474,.445,130,193,.674,27,115,142,118,27,13,100,84,505,
P.J. Tucker,30,PHO,NBA,SF,82,80,2540,239,582,.411,68,206,.330,171,376,.455,.469,106,142,.746,165,347,512,177,106,20,111,202,652,
Alex Len,22,PHO,NBA,C,78,46,1821,264,624,.423,1,7,.143,263,617,.426,.424,174,239,.728,178,416,594,97,38,62,145,230,703,
Jon Leuer,26,PHO,NBA,PF,67,27,1255,224,466,.481,42,110,.382,182,356,.511,.526,77,101,.762,76,297,373,72,38,30,75,125,567,
T.J. Warren,22,PHO,NBA,SF,47,4,1070,221,441,.501,28,70,.400,193,371,.520,.533,45,64,.703,57,90,147,44,37,16,32,94,515,
Devin Booker,19,PHO,NBA,SG,76,51,2108,367,867,.423,99,289,.343,268,578,.464,.480,215,256,.840,27,160,187,200,44,20,160,225,1048,
Tyson Chandler,33,PHO,NBA,C,66,60,1618,183,314,.583,0,1,.000,183,313,.585,.583,106,171,.620,175,401,576,64,36,44,93,145,472,
Brandon Knight,24,PHO,NBA,SG,52,50,1870,371,895,.415,120,351,.342,251,544,.461,.482,156,183,.852,36,166,202,263,61,20,177,124,1018,
Ronnie Price,32,PHO,NBA,PG,62,18,1211,116,302,.384,68,196,.347,48,106,.453,.497,31,41,.756,25,74,99,147,74,13,70,161,331,
Mirza Teletovic,30,PHO,NBA,PF,79,1,1685,332,777,.427,181,460,.393,151,317,.476,.544,120,155,.774,55,247,302,89,32,21,84,159,965,
John Jenkins,24,TOT,NBA,SG,43,3,480,71,160,.444,16,51,.314,55,109,.505,.494,20,24,.833,8,49,57,35,8,1,27,22,178,
Chase Budinger,27,TOT,NBA,SF,66,2,929,104,239,.435,24,86,.279,80,153,.523,.485,39,56,.696,43,107,150,64,32,10,44,62,271,
Alan Williams,23,PHO,NBA,PF,10,0,68,10,24,.417,0,0,,10,24,.417,.417,9,14,.643,14,24,38,5,4,5,6,15,29,
