Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Portland Trail Blazers,,2015-16 Portland Trail Blazers,NBA,,82,,19805,3167,7040,.450,864,2336,.370,2303,4704,.490,.511,1424,1889,.754,948,2782,3730,1748,562,380,1200,1782,8622,
Mason Plumlee,25,POR,NBA,C,82,82,2084,267,517,.516,0,4,.000,267,513,.520,.516,215,335,.642,201,427,628,226,68,85,154,253,749,
Brian Roberts,30,TOT,NBA,PG,51,0,470,74,165,.448,15,42,.357,59,123,.480,.494,42,47,.894,6,35,41,54,10,2,23,35,205,
Maurice Harkless,22,POR,NBA,SF,78,14,1457,195,411,.474,39,140,.279,156,271,.576,.522,69,111,.622,101,179,280,67,49,35,62,124,498,
Damian Lillard,25,POR,NBA,PG,75,75,2676,618,1474,.419,229,610,.375,389,864,.450,.497,414,464,.892,45,257,302,512,65,28,242,165,1879,
Meyers Leonard,23,POR,NBA,PF,61,10,1333,195,435,.448,86,228,.377,109,207,.527,.547,35,46,.761,51,263,314,92,8,18,77,183,511,
C.J. McCollum,24,POR,NBA,SG,80,80,2780,641,1431,.448,197,472,.417,444,959,.463,.517,187,226,.827,47,212,259,341,97,23,196,187,1666,
Allen Crabbe,23,POR,NBA,SG,81,8,2105,311,678,.459,112,285,.393,199,393,.506,.541,98,113,.867,27,189,216,99,63,16,64,192,832,
Chris Kaman,33,POR,NBA,C,16,2,112,20,43,.465,1,4,.250,19,39,.487,.477,3,3,1.000,7,17,24,11,1,1,8,15,44,
Gerald Henderson,28,POR,NBA,SG,72,0,1431,232,529,.439,48,136,.353,184,393,.468,.484,112,146,.767,30,181,211,75,39,19,68,87,624,
Noah Vonleh,20,POR,NBA,PF,78,56,1174,117,278,.421,11,46,.239,106,232,.457,.441,38,51,.745,91,214,305,30,27,26,50,152,283,
Al-Farouq Aminu,25,POR,NBA,SF,82,82,2341,299,719,.416,126,349,.361,173,370,.468,.503,115,156,.737,98,401,499,138,72,53,120,171,839,
Ed Davis,26,POR,NBA,PF,81,0,1684,206,337,.611,0,0,,206,337,.611,.611,114,204,.559,224,375,599,88,57,72,64,202,526,
Cliff Alexander,20,POR,NBA,PF,8,0,36,5,10,.500,0,0,,5,10,.500,.500,0,0,,2,4,6,0,1,2,1,1,10,
Luis Montero,22,POR,NBA,SG,12,0,42,5,19,.263,1,9,.111,4,10,.400,.289,3,4,.750,0,4,4,1,0,0,4,1,14,
Pat Connaughton,23,POR,NBA,SG,34,0,143,13,49,.265,5,21,.238,8,28,.286,.316,5,5,1.000,11,21,32,10,2,0,10,6,36,
