Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 San Antonio Spurs,,2015-16 San Antonio Spurs,NBA,,82,,19705,3289,6797,.484,570,1518,.375,2719,5279,.515,.526,1342,1672,.803,770,2831,3601,2010,677,485,1071,1433,8490,
Tony Parker,33,SAS,NBA,PG,72,72,1980,350,710,.493,27,65,.415,323,645,.501,.512,130,171,.760,17,159,176,379,54,11,131,114,857,
Boris Diaw,33,SAS,NBA,PF,76,4,1386,202,383,.527,25,69,.362,177,314,.564,.560,56,76,.737,58,175,233,176,26,21,97,102,485,
Patty Mills,27,SAS,NBA,PG,81,3,1662,260,612,.425,123,320,.384,137,292,.469,.525,47,58,.810,27,131,158,226,59,6,76,102,690,
Kyle Anderson,22,SAS,NBA,SF,78,11,1245,138,295,.468,12,37,.324,126,258,.488,.488,62,83,.747,25,219,244,123,60,29,59,97,350,
Kawhi Leonard,24,SAS,NBA,SF,72,72,2380,551,1090,.506,129,291,.443,422,799,.528,.565,292,334,.874,95,398,493,186,128,71,105,133,1523,
Danny Green,28,SAS,NBA,SG,79,79,2061,211,561,.376,116,349,.332,95,212,.448,.480,34,46,.739,48,255,303,141,79,64,75,141,572,
Manu Ginobili,38,SAS,NBA,SG,58,0,1134,197,435,.453,70,179,.391,127,256,.496,.533,91,112,.813,26,120,146,177,66,11,99,99,555,
David West,35,SAS,NBA,PF,78,19,1404,244,448,.545,3,7,.429,241,441,.546,.548,63,80,.788,72,237,309,143,44,55,68,142,554,
LaMarcus Aldridge,30,SAS,NBA,PF,74,74,2261,536,1045,.513,0,16,.000,536,1029,.521,.513,259,302,.858,176,456,632,110,38,81,99,151,1331,
Matt Bonner,35,SAS,NBA,C,30,2,206,29,57,.509,15,34,.441,14,23,.609,.640,3,4,.750,3,24,27,9,6,1,3,16,76,
Tim Duncan,39,SAS,NBA,C,61,60,1536,215,441,.488,0,2,.000,215,439,.490,.488,92,131,.702,115,332,447,163,47,78,90,125,522,
Jonathon Simmons,26,SAS,NBA,SG,55,2,813,122,242,.504,18,47,.383,104,195,.533,.541,69,92,.750,16,80,96,58,24,5,53,103,331,
Boban Marjanovic,27,SAS,NBA,C,54,4,508,105,174,.603,0,0,,105,174,.603,.603,87,114,.763,73,121,194,21,12,23,29,54,297,
Andre Miller,39,TOT,NBA,PG,39,4,461,59,106,.557,2,8,.250,57,98,.582,.566,24,32,.750,12,39,51,87,16,0,37,46,144,
Kevin Martin,32,TOT,NBA,SG,55,13,1095,156,419,.372,49,136,.360,107,283,.378,.431,153,172,.890,14,96,110,58,26,3,54,83,514,
