Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Toronto Raptors,,2015-16 Toronto Raptors,NBA,,82,,19780,3006,6669,.451,708,1915,.370,2298,4754,.483,.504,1702,2190,.777,836,2724,3560,1536,636,449,1073,1610,8422,
Lucas Nogueira,23,TOR,NBA,C,29,1,225,28,44,.636,1,3,.333,27,41,.659,.648,8,15,.533,18,28,46,7,12,12,11,29,65,
Patrick Patterson,26,TOR,NBA,PF,79,0,2020,204,493,.414,106,293,.362,98,200,.490,.521,29,34,.853,77,265,342,94,53,32,65,128,543,
DeMar DeRozan,26,TOR,NBA,SG,78,78,2804,614,1377,.446,47,139,.338,567,1238,.458,.463,555,653,.850,64,285,349,315,81,21,175,167,1830,
Kyle Lowry,29,TOR,NBA,PG,77,77,2851,512,1198,.427,212,547,.388,300,651,.461,.516,398,491,.811,55,310,365,494,158,34,225,211,1634,
Jonas Valanciunas,23,TOR,NBA,C,60,59,1557,303,536,.565,0,0,,303,536,.565,.565,162,213,.761,184,363,547,42,25,80,85,158,768,
Terrence Ross,24,TOR,NBA,SF,73,7,1747,270,626,.431,131,339,.386,139,287,.484,.536,49,62,.790,21,164,185,56,54,25,46,120,720,
James Johnson,28,TOR,NBA,PF,57,32,926,114,240,.475,20,66,.303,94,174,.540,.517,39,68,.574,28,98,126,67,29,33,54,84,287,
Bruno Caboclo,20,TOR,NBA,SF,6,1,43,1,12,.083,1,7,.143,0,5,.000,.125,0,0,,1,1,2,1,2,1,4,2,3,
Delon Wright,23,TOR,NBA,PG,27,1,229,36,80,.450,5,13,.385,31,67,.463,.481,26,35,.743,8,29,37,31,8,3,16,7,103,
DeMarre Carroll,29,TOR,NBA,SF,26,22,786,105,270,.389,46,118,.390,59,152,.388,.474,30,50,.600,31,91,122,27,44,6,28,63,286,
Bismack Biyombo,23,TOR,NBA,C,82,22,1808,156,288,.542,0,1,.000,156,287,.544,.542,142,226,.628,182,473,655,29,19,133,71,225,454,
Cory Joseph,24,TOR,NBA,SG,80,4,2046,257,585,.439,30,110,.273,227,475,.478,.465,133,174,.764,39,171,210,250,63,20,102,131,677,
Luis Scola,35,TOR,NBA,PF,76,76,1636,269,598,.450,65,161,.404,204,437,.467,.504,61,84,.726,84,276,360,66,46,27,68,178,664,
Norman Powell,22,TOR,NBA,SG,49,24,725,97,229,.424,36,89,.404,61,140,.436,.502,43,53,.811,16,95,111,47,29,10,32,59,273,
Jason Thompson,29,TOT,NBA,C,47,7,471,52,108,.481,5,15,.333,47,93,.505,.505,38,54,.704,32,102,134,29,12,20,15,80,147,
