Name,Age,Team,League,Position,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,Three Pointers,Three Pointers Attempted,Three Point Percentage,Two Pointers,Two Pointers Attempted,Two Point Percentage,Effective Field Goal Percentage,Free Throws,Free Throws Attempted,Free Throw,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2015-16 Washington Wizards,,2015-16 Washington Wizards,NBA,,82,,19755,3238,7033,.460,709,1983,.358,2529,5050,.501,.511,1349,1849,.730,743,2688,3431,2005,708,323,1186,1708,8534,
Ramon Sessions,29,WAS,NBA,PG,82,5,1667,280,592,.473,36,111,.324,244,481,.507,.503,214,283,.756,25,178,203,239,46,5,115,102,810,
Marcin Gortat,31,WAS,NBA,C,75,74,2256,433,764,.567,0,1,.000,433,763,.567,.567,146,207,.705,222,519,741,106,47,96,121,193,1012,
Markieff Morris,26,TOT,NBA,PF,64,45,1629,305,718,.425,47,155,.303,258,563,.458,.458,108,147,.735,73,279,352,124,58,34,135,184,765,
Nene,33,WAS,NBA,PF,57,11,1094,209,384,.544,0,3,.000,209,381,.549,.544,107,185,.578,52,207,259,97,54,26,76,156,525,
John Wall,25,WAS,NBA,PG,77,77,2784,572,1349,.424,115,328,.351,457,1021,.448,.467,272,344,.791,42,337,379,789,145,59,318,159,1531,
Bradley Beal,22,WAS,NBA,SG,55,35,1708,359,799,.449,105,271,.387,254,528,.481,.515,135,176,.767,41,147,188,162,54,11,112,117,958,
Otto Porter,22,WAS,NBA,SF,75,73,2276,339,717,.473,98,267,.367,241,450,.536,.541,95,126,.754,97,294,391,120,105,32,70,163,871,
Garrett Temple,29,WAS,NBA,SF,80,43,1951,201,505,.398,89,258,.345,112,247,.453,.486,91,125,.728,36,176,212,140,69,18,64,195,582,
Kelly Oubre Jr.,20,WAS,NBA,SF,63,9,671,90,211,.427,25,79,.316,65,132,.492,.486,31,49,.633,25,108,133,13,22,7,34,100,236,
Alan Anderson,33,WAS,NBA,SG,13,0,192,21,59,.356,12,37,.324,9,22,.409,.458,11,15,.733,1,26,27,14,4,1,2,25,65,
Jared Dudley,30,WAS,NBA,PF,81,41,2098,233,487,.478,100,238,.420,133,249,.534,.581,72,98,.735,54,232,286,170,75,18,80,190,638,
Drew Gooden,34,WAS,NBA,PF,30,0,305,33,103,.320,7,41,.171,26,62,.419,.354,9,14,.643,28,57,85,13,8,11,13,40,82,
Jarell Eddie,24,WAS,NBA,SF,26,0,147,20,65,.308,15,47,.319,5,18,.278,.423,8,8,1.000,2,21,23,5,5,1,1,5,63,
J.J. Hickson,27,TOT,NBA,C,35,9,436,80,155,.516,0,1,.000,80,154,.519,.516,46,103,.447,39,93,132,23,15,14,25,47,206,
Marcus Thornton,28,TOT,NBA,SG,61,8,1109,216,542,.399,91,270,.337,125,272,.460,.482,67,79,.848,38,112,150,85,47,4,51,90,590,
